market,symbol,unix,open,high,low,close,volume
USDM,BTC/USDT,1669917300000,16970.3,16979.0,16960.4,16960.4,502.011
USDM,BTC/USDT,1669917600000,16960.5,16966.9,16954.8,16958.8,599.912
USDM,BTC/USDT,1669917900000,16958.7,16969.9,16958.5,16964.9,608.424
USDM,BTC/USDT,1669918200000,16964.9,16968.8,16958.1,16964.0,636.715
USDM,BTC/USDT,1669918500000,16964.1,16965.5,16938.4,16940.4,1178.93
USDM,BTC/USDT,1669918800000,16940.5,16948.6,16938.7,16942.9,642.406
USDM,BTC/USDT,1669919100000,16942.9,16944.0,16928.0,16935.3,817.305
USDM,BTC/USDT,1669919400000,16935.3,16940.4,16913.8,16919.9,1331.696
USDM,BTC/USDT,1669919700000,16919.9,16926.4,16900.4,16914.1,1914.438
USDM,BTC/USDT,1669920000000,16914.1,16940.0,16908.2,16938.0,1256.499
USDM,BTC/USDT,1669920300000,16938.1,16956.7,16931.1,16932.0,1044.639
USDM,BTC/USDT,1669920600000,16931.9,16932.0,16917.7,16919.9,639.953
USDM,BTC/USDT,1669920900000,16919.9,16932.4,16918.3,16925.9,472.651
USDM,BTC/USDT,1669921200000,16925.9,16928.8,16912.7,16914.3,792.975
USDM,BTC/USDT,1669921500000,16914.2,16923.0,16900.0,16909.3,1183.304
USDM,BTC/USDT,1669921800000,16909.3,16910.5,16893.1,16909.3,1146.786
USDM,BTC/USDT,1669922100000,16909.3,16928.5,16905.1,16919.0,1014.28
USDM,BTC/USDT,1669922400000,16919.1,16929.7,16919.0,16929.6,462.555
USDM,BTC/USDT,1669922700000,16929.7,16932.4,16921.8,16925.5,532.685
USDM,BTC/USDT,1669923000000,16925.5,16937.4,16911.0,16937.4,891.877
USDM,BTC/USDT,1669923300000,16937.3,16947.2,16932.4,16940.1,1054.853
USDM,BTC/USDT,1669923600000,16940.1,16945.7,16928.8,16928.9,501.064
USDM,BTC/USDT,1669923900000,16928.9,16954.5,16928.4,16949.3,869.955
USDM,BTC/USDT,1669924200000,16949.3,16952.5,16943.6,16945.8,598.055
